,electricity
2023-01-01,3.606
2023-01-02,3.323
2023-01-03,3.551
2023-01-04,3.068
2023-01-05,3.561
2023-01-06,3.387
2023-01-07,3.2760000000000002
2023-01-08,3.348
2023-01-09,3.517
2023-01-10,3.8520000000000003
2023-01-11,3.904
2023-01-12,3.2680000000000002
2023-01-13,2.798
2023-01-14,0.902
2023-01-15,1.596
2023-01-16,1.189
2023-01-17,3.7030000000000003
2023-01-18,3.329
2023-01-19,3.5620000000000003
2023-01-20,4.0440000000000005
2023-01-21,4.114
2023-01-22,2.722
2023-01-23,1.2730000000000001
2023-01-24,2.005
2023-01-25,3.148
2023-01-26,3.742
2023-01-27,1.867
2023-01-28,3.866
2023-01-29,3.7600000000000002
2023-01-30,3.599
2023-01-31,4.253
2023-02-01,3.753
2023-02-02,2.797
2023-02-03,2.3770000000000002
2023-02-04,3.335
2023-02-05,4.242
2023-02-06,4.074
2023-02-07,2.92
2023-02-08,3.459
2023-02-09,4.154
2023-02-10,1.209
2023-02-11,4.354
2023-02-12,2.13
2023-02-13,1.314
2023-02-14,4.306
2023-02-15,4.553
2023-02-16,4.878
2023-02-17,4.721
2023-02-18,4.087
2023-02-19,2.33
2023-02-20,4.601
2023-02-21,4.3020000000000005
2023-02-22,4.589
2023-02-23,2.962
2023-02-24,2.759
2023-02-25,4.827
2023-02-26,5.466
2023-02-27,5.409
2023-02-28,4.972
2023-03-01,4.604
2023-03-02,4.7330000000000005
2023-03-03,5.174
2023-03-04,4.228
2023-03-05,2.246
2023-03-06,3.348
2023-03-07,5.081
2023-03-08,4.862
2023-03-09,4.269
2023-03-10,3.947
2023-03-11,4.983
2023-03-12,4.052
2023-03-13,2.076
2023-03-14,5.479
2023-03-15,5.311
2023-03-16,4.936
2023-03-17,2.324
2023-03-18,1.8900000000000001
2023-03-19,5.646
2023-03-20,5.2700000000000005
2023-03-21,3.1550000000000002
2023-03-22,4.854
2023-03-23,1.68
2023-03-24,2.495
2023-03-25,1.315
2023-03-26,1.51
2023-03-27,2.912
2023-03-28,3.763
2023-03-29,4.437
2023-03-30,4.813
2023-03-31,4.617
2023-04-01,5.442
2023-04-02,4.194
2023-04-03,5.786
2023-04-04,5.442
2023-04-05,4.213
2023-04-06,3.982
2023-04-07,3.375
2023-04-08,5.65
2023-04-09,6.382000000000001
2023-04-10,6.0440000000000005
2023-04-11,5.2490000000000006
2023-04-12,3.5010000000000003
2023-04-13,6.1690000000000005
2023-04-14,4.391
2023-04-15,1.47
2023-04-16,5.318
2023-04-17,5.626
2023-04-18,4.581
2023-04-19,5.619
2023-04-20,5.708
2023-04-21,3.989
2023-04-22,5.936
2023-04-23,5.458
2023-04-24,3.7670000000000003
2023-04-25,3.967
2023-04-26,3.092
2023-04-27,6.406000000000001
2023-04-28,5.9270000000000005
2023-04-29,4.869
2023-04-30,1.947
2023-05-01,5.888
2023-05-02,6.51
2023-05-03,5.7780000000000005
2023-05-04,6.274
2023-05-05,6.188
2023-05-06,5.204
2023-05-07,1.834
2023-05-08,5.546
2023-05-09,5.97
2023-05-10,6.289
2023-05-11,5.144
2023-05-12,4.471
2023-05-13,2.813
2023-05-14,2.99
2023-05-15,3.123
2023-05-16,6.4030000000000005
2023-05-17,6.113
2023-05-18,5.259
2023-05-19,3.5940000000000003
2023-05-20,5.088
2023-05-21,5.423
2023-05-22,4.521
2023-05-23,3.08
2023-05-24,5.954
2023-05-25,3.182
2023-05-26,4.689
2023-05-27,6.026
2023-05-28,4.869
2023-05-29,2.433
2023-05-30,3.959
2023-05-31,5.138
2023-06-01,4.198
2023-06-02,2.124
2023-06-03,4.937
2023-06-04,5.5840000000000005
2023-06-05,4.833
2023-06-06,2.9210000000000003
2023-06-07,5.9590000000000005
2023-06-08,2.638
2023-06-09,3.121
2023-06-10,2.949
2023-06-11,2.35
2023-06-12,3.591
2023-06-13,4.838
2023-06-14,3.5100000000000002
2023-06-15,3.3
2023-06-16,5.8020000000000005
2023-06-17,6.251
2023-06-18,4.936
2023-06-19,5.298
2023-06-20,5.236
2023-06-21,5.438
2023-06-22,3.579
2023-06-23,4.404
2023-06-24,4.444
2023-06-25,5.214
2023-06-26,4.803
2023-06-27,3.515
2023-06-28,3.435
2023-06-29,5.097
2023-06-30,3.0660000000000003
2023-07-01,4.0280000000000005
2023-07-02,5.5600000000000005
2023-07-03,4.772
2023-07-04,5.2410000000000005
2023-07-05,3.217
2023-07-06,5.397
