,electricity
2023-01-01,0.39
2023-01-02,2.6950000000000003
2023-01-03,0.263
2023-01-04,0.85
2023-01-05,1.479
2023-01-06,1.649
2023-01-07,0.32
2023-01-08,0.838
2023-01-09,4.195
2023-01-10,0.308
2023-01-11,2.601
2023-01-12,0.221
2023-01-13,2.789
2023-01-14,0.6739999999999999
2023-01-15,3.6270000000000002
2023-01-16,0.619
2023-01-17,5.026
2023-01-18,3.03
2023-01-19,3.543
2023-01-20,6.705
2023-01-21,7.226
2023-01-22,5.307
2023-01-23,6.213
2023-01-24,3.569
2023-01-25,0.516
2023-01-26,1.24
2023-01-27,4.684
2023-01-28,4.737
2023-01-29,0.748
2023-01-30,5.3260000000000005
2023-01-31,4.444
2023-02-01,4.253
2023-02-02,3.608
2023-02-03,4.986000000000001
2023-02-04,2.248
2023-02-05,7.982
2023-02-06,7.524
2023-02-07,7.063
2023-02-08,10.491999999999999
2023-02-09,6.483
2023-02-10,5.121
2023-02-11,3.5060000000000002
2023-02-12,1.875
2023-02-13,8.581
2023-02-14,4.996
2023-02-15,6.4430000000000005
2023-02-16,1.4260000000000002
2023-02-17,3.12
2023-02-18,1.52
2023-02-19,9.427
2023-02-20,6.556
2023-02-21,1.774
2023-02-22,2.056
2023-02-23,4.9670000000000005
2023-02-24,2.149
2023-02-25,7.428
2023-02-26,11.302
2023-02-27,8.708
2023-02-28,5.021
2023-03-01,6.143
2023-03-02,12.666
2023-03-03,7.272
2023-03-04,11.401
2023-03-05,3.169
2023-03-06,1.9700000000000002
2023-03-07,2.064
2023-03-08,1.982
2023-03-09,1.1300000000000001
2023-03-10,5.3
2023-03-11,5.957
2023-03-12,5.093
2023-03-13,11.288
2023-03-14,9.123
2023-03-15,3.076
2023-03-16,3.442
2023-03-17,4.347
2023-03-18,7.439
2023-03-19,11.826
2023-03-20,2.267
2023-03-21,7.018
2023-03-22,4.295
2023-03-23,9.175
2023-03-24,9.578
2023-03-25,12.615
2023-03-26,2.458
2023-03-27,15.361
2023-03-28,3.338
2023-03-29,2.854
2023-03-30,10.48
2023-03-31,2.858
2023-04-01,4.8069999999999995
2023-04-02,17.166
2023-04-03,18.208000000000002
2023-04-04,18.957
2023-04-05,7.701
2023-04-06,7.021
2023-04-07,16.044
2023-04-08,11.431000000000001
2023-04-09,11.937
2023-04-10,7.469
2023-04-11,7.414
2023-04-12,5.799
2023-04-13,18.366
2023-04-14,8.716
2023-04-15,8.988
2023-04-16,6.755
2023-04-17,16.53
2023-04-18,12.983
2023-04-19,17.069
2023-04-20,15.961
2023-04-21,5.173
2023-04-22,8.542
2023-04-23,4.626
2023-04-24,6.175
2023-04-25,19.400000000000002
2023-04-26,11.751
2023-04-27,6.6770000000000005
2023-04-28,9.863
2023-04-29,15.189
2023-04-30,9.302
2023-05-01,10.227
2023-05-02,9.551
2023-05-03,19.237
2023-05-04,11.429
2023-05-05,9.397
2023-05-06,3.374
2023-05-07,16.793
2023-05-08,4.933
2023-05-09,7.2700000000000005
2023-05-10,10.504
2023-05-11,11.801
2023-05-12,4.2410000000000005
2023-05-13,16.605
2023-05-14,13.515
2023-05-15,14.107000000000001
2023-05-16,18.533
2023-05-17,13.916
2023-05-18,15.336
2023-05-19,9.530000000000001
2023-05-20,19.637
2023-05-21,18.023
2023-05-22,13.821
2023-05-23,11.434
2023-05-24,17.594
2023-05-25,19.165
2023-05-26,21.343
2023-05-27,16.729
2023-05-28,17.651
2023-05-29,19.563
2023-05-30,18.84
2023-05-31,16.783
2023-06-01,19.544
2023-06-02,20.376
2023-06-03,19.703
2023-06-04,20.784
2023-06-05,19.869
2023-06-06,18.854
2023-06-07,19.263
2023-06-08,20.028
2023-06-09,19.774
2023-06-10,19.017
2023-06-11,11.811
2023-06-12,14.278
2023-06-13,19.832
2023-06-14,20.179
2023-06-15,18.616
2023-06-16,18.3
2023-06-17,8.984
2023-06-18,6.436
2023-06-19,17.098
2023-06-20,9.735
2023-06-21,19.834
2023-06-22,14.404
2023-06-23,16.056
2023-06-24,19.183
2023-06-25,18.81
2023-06-26,15.912
2023-06-27,10.662
2023-06-28,11.188
2023-06-29,11.298
2023-06-30,9.98
2023-07-01,15.206999999999999
2023-07-02,18.453
2023-07-03,15.345
2023-07-04,7.546
2023-07-05,16.544999999999998
2023-07-06,18.916
2023-07-07,20.084
2023-07-08,8.273
2023-07-09,9.962
2023-07-10,16.314
2023-07-11,9.832
2023-07-12,17.09
2023-07-13,14.179
2023-07-14,4.183
2023-07-15,17.55
2023-07-16,12.334
2023-07-17,18.262
2023-07-18,9.992
2023-07-19,15.005
2023-07-20,16.137999999999998
2023-07-21,14.173
2023-07-22,7.010000000000001
2023-07-23,15.25
2023-07-24,10.518
2023-07-25,15.747
2023-07-26,12.071
2023-07-27,8.762
2023-07-28,14.49
2023-07-29,17.103
2023-07-30,11.665000000000001
2023-07-31,7.916
2023-08-01,16.537
2023-08-02,11.25
2023-08-03,15.338
2023-08-04,12.939
2023-08-05,5.627
2023-08-06,15.563
2023-08-07,16.726
2023-08-08,6.658
2023-08-09,17.538
2023-08-10,15.023
2023-08-11,8.684
2023-08-12,16.923
2023-08-13,12.459
2023-08-14,10.291
2023-08-15,15.824
2023-08-16,13.637
2023-08-17,18.54
2023-08-18,5.424
2023-08-19,17.858
2023-08-20,14.985
2023-08-21,16.386
2023-08-22,15.548
2023-08-23,16.282
2023-08-24,7.649
2023-08-25,13.764
2023-08-26,9.951
2023-08-27,13.732
2023-08-28,14.964
2023-08-29,11.536
2023-08-30,14.585
2023-08-31,7.735
2023-09-01,12.293
2023-09-02,12.688
2023-09-03,16.472
2023-09-04,16.881
2023-09-05,11.834
2023-09-06,11.1
2023-09-07,12.475
2023-09-08,4.782
2023-09-09,13.493
2023-09-10,5.361
2023-09-11,10.991999999999999
2023-09-12,8.829
2023-09-13,14.136
2023-09-14,15.356
2023-09-15,15.266
2023-09-16,5.543
2023-09-17,5.482
2023-09-18,9.872
2023-09-19,5.027
2023-09-20,6.823
2023-09-21,5.627
2023-09-22,10.947000000000001
2023-09-23,14.026
2023-09-24,10.985
2023-09-25,12.244
2023-09-26,7.642
2023-09-27,3.182
2023-09-28,6.171
2023-09-29,14.26
2023-09-30,11.917
2023-10-01,3.72
2023-10-02,2.937
2023-10-03,11.462
2023-10-04,6.486
2023-10-05,7.667
2023-10-06,9.872
2023-10-07,7.075
2023-10-08,5.904
2023-10-09,4.896
2023-10-10,8.196
2023-10-11,1.973
2023-10-12,2.118
2023-10-13,5.781
2023-10-14,8.983
2023-10-15,13.577
2023-10-16,2.479
2023-10-17,9.292
2023-10-18,1.236
2023-10-19,3.417
2023-10-20,1.382
2023-10-21,1.368
2023-10-22,8.429
2023-10-23,1.338
2023-10-24,5.538
2023-10-25,5.869
2023-10-26,6.979
2023-10-27,1.8150000000000002
2023-10-28,3.102
2023-10-29,2.69
2023-10-30,1.349
2023-10-31,5.631
2023-11-01,2.013
2023-11-02,0.995
2023-11-03,4.646
2023-11-04,1.941
2023-11-05,8.008000000000001
2023-11-06,7.524
2023-11-07,4.007000000000001
2023-11-08,0.625
2023-11-09,1.855
2023-11-10,1.701
2023-11-11,5.288
2023-11-12,1.6740000000000002
2023-11-13,6.047
2023-11-14,2.299
2023-11-15,7.385
2023-11-16,0.348
2023-11-17,2.771
2023-11-18,0.51
2023-11-19,3.504
2023-11-20,5.375
2023-11-21,1.415
2023-11-22,1.29
2023-11-23,4.303
2023-11-24,7.957
2023-11-25,7.618
2023-11-26,0.35000000000000003
2023-11-27,0.5770000000000001
2023-11-28,6.156000000000001
2023-11-29,5.23
2023-11-30,4.507000000000001
2023-12-01,3.9570000000000003
2023-12-02,2.8760000000000003
2023-12-03,0.224
2023-12-04,0.213
2023-12-05,0.991
2023-12-06,2.111
2023-12-07,0.514
2023-12-08,1.528
2023-12-09,1.005
2023-12-10,0.519
2023-12-11,5.537
2023-12-12,1.095
2023-12-13,0.256
2023-12-14,1.104
2023-12-15,5.745
2023-12-16,1.693
2023-12-17,2.201
2023-12-18,0.625
2023-12-19,0.29400000000000004
2023-12-20,0.615
2023-12-21,1.036
2023-12-22,0.8350000000000001
2023-12-23,3.096
2023-12-24,1.304
2023-12-25,0.589
2023-12-26,4.046
2023-12-27,0.272
2023-12-28,2.289
2023-12-29,1.592
2023-12-30,0.682
2023-12-31,0.9
