,electricity
2023-01-01,0.081
2023-01-02,0.9770000000000001
2023-01-03,0.238
2023-01-04,0.247
2023-01-05,0.056
2023-01-06,0.871
2023-01-07,0.302
2023-01-08,0.9620000000000001
2023-01-09,0.334
2023-01-10,0.05
2023-01-11,0.33999999999999997
2023-01-12,0.272
2023-01-13,0.5
2023-01-14,0.436
2023-01-15,0.8410000000000001
2023-01-16,1.119
2023-01-17,0.541
2023-01-18,0.9900000000000001
2023-01-19,1.17
2023-01-20,2.228
2023-01-21,0.306
2023-01-22,0.07100000000000001
2023-01-23,0.111
2023-01-24,0.129
2023-01-25,1.437
2023-01-26,1.924
2023-01-27,0.242
2023-01-28,2.227
2023-01-29,0.16
2023-01-30,1.954
2023-01-31,0.916
2023-02-01,1.1480000000000001
2023-02-02,0.20400000000000001
2023-02-03,0.261
2023-02-04,0.5680000000000001
2023-02-05,0.512
2023-02-06,0.929
2023-02-07,0.196
2023-02-08,1.708
2023-02-09,1.919
2023-02-10,0.181
2023-02-11,0.575
2023-02-12,1.27
2023-02-13,1.964
2023-02-14,1.254
2023-02-15,1.493
2023-02-16,0.367
2023-02-17,1.58
2023-02-18,0.401
2023-02-19,0.29
2023-02-20,0.209
2023-02-21,0.665
2023-02-22,1.5370000000000001
2023-02-23,1.742
2023-02-24,3.474
2023-02-25,3.9280000000000004
2023-02-26,3.927
2023-02-27,3.918
2023-02-28,3.447
2023-03-01,2.749
2023-03-02,2.442
2023-03-03,3.598
2023-03-04,3.991
2023-03-05,1.906
2023-03-06,2.596
2023-03-07,2.464
2023-03-08,4.157
2023-03-09,1.239
2023-03-10,4.101
2023-03-11,1.4280000000000002
2023-03-12,1.11
2023-03-13,0.499
2023-03-14,2.0010000000000003
2023-03-15,0.774
2023-03-16,0.761
2023-03-17,1.702
2023-03-18,1.125
2023-03-19,2.068
2023-03-20,0.474
2023-03-21,2.152
2023-03-22,2.65
2023-03-23,1.934
2023-03-24,1.812
2023-03-25,2.387
2023-03-26,3.3890000000000002
2023-03-27,5.706
2023-03-28,0.551
2023-03-29,0.954
2023-03-30,4.074
2023-03-31,2.433
2023-04-01,3.4490000000000003
2023-04-02,3.634
2023-04-03,5.772
2023-04-04,3.282
